CardId	CardType	NameKey	DescKey	CardGrade	CardTagList	ElementType	TargetHeroId	UpgradeKey	UpgradeStep	MaxStep	MaxStack	IsUnique	Weight	RequiredUnlockId	IconKey
8131	SkillUpgrade	Axeman Skill Lv.1	Axeman's skill upgrade increases damage by 10%.	Common	Attack|SkillUpgrade|Axe	Physical	1004	Skill	1	4	1	TRUE	80	0	icon_skill_axe_1
8132	SkillUpgrade	Axeman Skill Lv.2	Axeman's skill upgrade increases damage by 20%.	Rare	Attack|SkillUpgrade|Axe	Physical	1004	Skill	2	4	1	TRUE	60	0	icon_skill_axe_2
8133	SkillUpgrade	Axeman Skill Lv.3	Axeman's skill upgrade increases damage by 30%.	Epic	Attack|SkillUpgrade|Axe	Physical	1004	Skill	3	4	1	TRUE	40	0	icon_skill_axe_3
8134	SkillUpgrade	Axeman Final Skill	Axeman's final skill upgrade increases damage by 50%.	Legendary	Attack|SkillUpgrade|Axe	Physical	1004	Skill	4	4	1	TRUE	20	0	icon_skill_axe_final
8201	HeroStatUpgrade	Swordsman Damage	Swordsman damage increases by 20%.	Common	Attack|Damage|Sword	Physical	1001	Damage	1	1	1	TRUE	90	0	icon_sword_damage
8202	HeroStatUpgrade	Swordsman Attack Speed	Swordsman attack speed increases by 15%.	Common	Attack|Speed|Sword	Physical	1001	AttackSpeed	1	1	1	TRUE	85	0	icon_sword_attack_speed
8211	HeroStatUpgrade	Archer Damage	Archer damage increases by 20%.	Common	Attack|Damage|Bow	Physical	1002	Damage	1	1	1	TRUE	90	0	icon_archer_damage
8212	HeroStatUpgrade	Archer Attack Speed	Archer attack speed increases by 15%.	Common	Attack|Speed|Bow	Physical	1002	AttackSpeed	1	1	1	TRUE	85	0	icon_archer_attack_speed
8221	HeroStatUpgrade	Mage Damage	Mage damage increases by 20%.	Common	Attack|Damage|Mage	Lightning	1003	Damage	1	1	1	TRUE	90	0	icon_magician_damage
8222	HeroStatUpgrade	Mage Attack Speed	Mage attack speed increases by 15%.	Common	Attack|Speed|Mage	Lightning	1003	AttackSpeed	1	1	1	TRUE	85	0	icon_magician_attack_speed
8231	HeroStatUpgrade	Axeman Damage	Axeman damage increases by 20%.	Common	Attack|Damage|Axe	Physical	1004	Damage	1	1	1	TRUE	90	0	icon_axe_damage
8232	HeroStatUpgrade	Axeman Attack Speed	Axeman attack speed increases by 15%.	Common	Attack|Speed|Axe	Physical	1004	AttackSpeed	1	1	1	TRUE	85	0	icon_axe_attack_speed
